,id,type,data
598,TOR201905220,visteam,BOS
599,TOR201905220,hometeam,TOR
600,TOR201905220,site,TOR02
601,TOR201905220,date,2019/05/22
602,TOR201905220,number,0
603,TOR201905220,starttime,7:07PM
604,TOR201905220,daynight,night
605,TOR201905220,usedh,true
606,TOR201905220,umphome,ortir901
607,TOR201905220,ump1b,sches901
608,TOR201905220,ump2b,wegnm901
609,TOR201905220,ump3b,porta901
610,TOR201905220,howscored,park
611,TOR201905220,pitches,pitches
612,TOR201905220,oscorer,starh701
613,TOR201905220,temp,68
614,TOR201905220,winddir,unknown
615,TOR201905220,windspeed,0
616,TOR201905220,fieldcond,unknown
617,TOR201905220,precip,unknown
618,TOR201905220,sky,dome
619,TOR201905220,timeofgame,270
620,TOR201905220,attendance,18285
621,TOR201905220,wp,hembh001
622,TOR201905220,lp,cordj001
623,TOR201905220,save,
624,TOR201905230,visteam,BOS
625,TOR201905230,hometeam,TOR
626,TOR201905230,site,TOR02
627,TOR201905230,date,2019/05/23
628,TOR201905230,number,0
629,TOR201905230,starttime,12:36PM
630,TOR201905230,daynight,day
631,TOR201905230,usedh,true
632,TOR201905230,umphome,sches901
633,TOR201905230,ump1b,wegnm901
634,TOR201905230,ump2b,porta901
635,TOR201905230,ump3b,ortir901
636,TOR201905230,howscored,park
637,TOR201905230,pitches,pitches
638,TOR201905230,oscorer,starh701
639,TOR201905230,temp,68
640,TOR201905230,winddir,unknown
641,TOR201905230,windspeed,0
642,TOR201905230,fieldcond,unknown
643,TOR201905230,precip,unknown
644,TOR201905230,sky,dome
645,TOR201905230,timeofgame,181
646,TOR201905230,attendance,36526
647,TOR201905230,wp,weber001
648,TOR201905230,lp,gavis001
649,TOR201905230,save,
650,TOR201905240,visteam,SDN
651,TOR201905240,hometeam,TOR
652,TOR201905240,site,TOR02
653,TOR201905240,date,2019/05/24
654,TOR201905240,number,0
655,TOR201905240,starttime,7:08PM
656,TOR201905240,daynight,night
657,TOR201905240,usedh,true
658,TOR201905240,umphome,cuzzp901
659,TOR201905240,ump1b,ticht901
660,TOR201905240,ump2b,hallt901
661,TOR201905240,ump3b,hamaa901
662,TOR201905240,howscored,park
663,TOR201905240,pitches,pitches
664,TOR201905240,oscorer,lajor701
665,TOR201905240,temp,68
666,TOR201905240,winddir,unknown
667,TOR201905240,windspeed,0
668,TOR201905240,fieldcond,unknown
669,TOR201905240,precip,unknown
670,TOR201905240,sky,dome
671,TOR201905240,timeofgame,169
672,TOR201905240,attendance,19480
673,TOR201905240,wp,wislm001
674,TOR201905240,lp,hudsd001
675,TOR201905240,save,stamc001
676,TOR201905250,visteam,SDN
677,TOR201905250,hometeam,TOR
678,TOR201905250,site,TOR02
679,TOR201905250,date,2019/05/25
680,TOR201905250,number,0
681,TOR201905250,starttime,3:08PM
682,TOR201905250,daynight,day
683,TOR201905250,usedh,true
684,TOR201905250,umphome,ticht901
685,TOR201905250,ump1b,hallt901
686,TOR201905250,ump2b,hamaa901
687,TOR201905250,ump3b,cuzzp901
688,TOR201905250,howscored,park
689,TOR201905250,pitches,pitches
690,TOR201905250,oscorer,moreh701
691,TOR201905250,temp,68
692,TOR201905250,winddir,unknown
693,TOR201905250,windspeed,0
694,TOR201905250,fieldcond,unknown
695,TOR201905250,precip,unknown
696,TOR201905250,sky,dome
697,TOR201905250,timeofgame,184
698,TOR201905250,attendance,24212
699,TOR201905250,wp,quanc001
700,TOR201905250,lp,jacke001
701,TOR201905250,save,
702,TOR201905260,visteam,SDN
703,TOR201905260,hometeam,TOR
704,TOR201905260,site,TOR02
705,TOR201905260,date,2019/05/26
706,TOR201905260,number,0
707,TOR201905260,starttime,1:08PM
708,TOR201905260,daynight,day
709,TOR201905260,usedh,true
710,TOR201905260,umphome,hallt901
711,TOR201905260,ump1b,hamaa901
712,TOR201905260,ump2b,cuzzp901
713,TOR201905260,ump3b,ticht901
714,TOR201905260,howscored,park
715,TOR201905260,pitches,pitches
716,TOR201905260,oscorer,moreh701
717,TOR201905260,temp,68
718,TOR201905260,winddir,unknown
719,TOR201905260,windspeed,0
720,TOR201905260,fieldcond,unknown
721,TOR201905260,precip,unknown
722,TOR201905260,sky,dome
723,TOR201905260,timeofgame,188
724,TOR201905260,attendance,24462
725,TOR201905260,wp,strom001
726,TOR201905260,lp,erlir001
727,TOR201905260,save,
728,TOR201906040,visteam,NYA
729,TOR201906040,hometeam,TOR
730,TOR201906040,site,TOR02
731,TOR201906040,date,2019/06/04
732,TOR201906040,number,0
733,TOR201906040,starttime,7:07PM
734,TOR201906040,daynight,night
735,TOR201906040,usedh,true
736,TOR201906040,umphome,herna901
737,TOR201906040,ump1b,hicke901
738,TOR201906040,ump2b,torrc901
739,TOR201906040,ump3b,demud901
740,TOR201906040,howscored,park
741,TOR201906040,pitches,pitches
742,TOR201906040,oscorer,lajor701
743,TOR201906040,temp,68
744,TOR201906040,winddir,unknown
745,TOR201906040,windspeed,0
746,TOR201906040,fieldcond,unknown
747,TOR201906040,precip,unknown
748,TOR201906040,sky,dome
749,TOR201906040,timeofgame,180
750,TOR201906040,attendance,20671
751,TOR201906040,wp,pannt001
752,TOR201906040,lp,tanam001
753,TOR201906040,save,gilek001
754,TOR201906050,visteam,NYA
755,TOR201906050,hometeam,TOR
756,TOR201906050,site,TOR02
757,TOR201906050,date,2019/06/05
758,TOR201906050,number,0
759,TOR201906050,starttime,7:08PM
760,TOR201906050,daynight,night
761,TOR201906050,usedh,true
762,TOR201906050,umphome,hicke901
763,TOR201906050,ump1b,torrc901
764,TOR201906050,ump2b,demud901
765,TOR201906050,ump3b,addir901
766,TOR201906050,howscored,park
767,TOR201906050,pitches,pitches
768,TOR201906050,oscorer,lajor701
769,TOR201906050,temp,68
770,TOR201906050,winddir,unknown
771,TOR201906050,windspeed,0
772,TOR201906050,fieldcond,unknown
773,TOR201906050,precip,unknown
774,TOR201906050,sky,dome
775,TOR201906050,timeofgame,202
776,TOR201906050,attendance,16609
777,TOR201906050,wp,gavis001
778,TOR201906050,lp,britz001
779,TOR201906050,save,
780,TOR201906060,visteam,NYA
781,TOR201906060,hometeam,TOR
782,TOR201906060,site,TOR02
783,TOR201906060,date,2019/06/06
784,TOR201906060,number,0
785,TOR201906060,starttime,7:09PM
786,TOR201906060,daynight,night
787,TOR201906060,usedh,true
788,TOR201906060,umphome,torrc901
789,TOR201906060,ump1b,demud901
790,TOR201906060,ump2b,addir901
791,TOR201906060,ump3b,hicke901
792,TOR201906060,howscored,park
793,TOR201906060,pitches,pitches
794,TOR201906060,oscorer,lajor701
795,TOR201906060,temp,68
796,TOR201906060,winddir,tocf
797,TOR201906060,windspeed,5
798,TOR201906060,fieldcond,unknown
799,TOR201906060,precip,unknown
800,TOR201906060,sky,sunny
801,TOR201906060,timeofgame,187
802,TOR201906060,attendance,25657
803,TOR201906060,wp,happj001
804,TOR201906060,lp,jacke001
805,TOR201906060,save,chapa001
806,TOR201906070,visteam,ARI
807,TOR201906070,hometeam,TOR
808,TOR201906070,site,TOR02
809,TOR201906070,date,2019/06/07
810,TOR201906070,number,0
811,TOR201906070,starttime,7:08PM
812,TOR201906070,daynight,night
813,TOR201906070,usedh,true
814,TOR201906070,umphome,barrl901
815,TOR201906070,ump1b,guccc901
816,TOR201906070,ump2b,everm901
817,TOR201906070,ump3b,welkb901
818,TOR201906070,howscored,park
819,TOR201906070,pitches,pitches
820,TOR201906070,oscorer,moreh701
821,TOR201906070,temp,73
822,TOR201906070,winddir,fromcf
823,TOR201906070,windspeed,5
824,TOR201906070,fieldcond,unknown
825,TOR201906070,precip,unknown
826,TOR201906070,sky,sunny
827,TOR201906070,timeofgame,170
828,TOR201906070,attendance,16555
829,TOR201906070,wp,kellm002
830,TOR201906070,lp,strom001
831,TOR201906070,save,
832,TOR201906080,visteam,ARI
833,TOR201906080,hometeam,TOR
